Date,Open,High,Low,Close,Volume
03/17/2025,"8.86","8.87","7.97","8.34","154,061,406"
03/14/2025,"9.03","9.35","8.58","9.22","160,206,594"
03/13/2025,"9.13","9.15","8.06","8.57","217,496,984"
03/12/2025,"9.08","9.39","8.65","9.14","222,804,500"
03/11/2025,"7.59","8.37","7.11","7.91","304,689,969"
03/10/2025,"9.84","9.92","7.22","7.38","259,181,109"
03/07/2025,"10.39","10.97","9.71","10.66","143,040,500"
03/06/2025,"11.50","11.55","10.45","10.75","134,955,906"
03/05/2025,"11.61","12.15","11.16","12.13","115,536,398"
03/04/2025,"11.44","12.62","10.62","11.53","192,726,703"
03/03/2025,"14.09","14.42","12.00","12.67","154,661,594"
02/28/2025,"12.22","13.47","11.71","13.45","154,462,703"
02/27/2025,"13.28","13.86","12.36","12.47","147,143,906"
02/26/2025,"14.50","15.00","13.01","13.29","118,324,305"
02/25/2025,"16.97","17.00","13.85","14.41","167,522,500"
02/24/2025,"18.15","18.60","16.71","17.33","79,829,875"
02/21/2025,"19.91","20.06","17.75","18.11","72,766,469"
02/20/2025,"20.85","20.92","19.28","20.01","56,054,090"
02/19/2025,"19.99","21.50","19.98","20.73","67,228,727"
02/18/2025,"20.16","20.58","19.55","20.01","52,335,008"
02/14/2025,"20.77","20.92","19.28","20.23","76,090,648"
02/13/2025,"19.09","20.55","18.87","20.27","99,627,875"
02/12/2025,"17.50","19.21","17.42","18.16","117,564,898"
02/11/2025,"19.30","19.70","16.96","17.35","116,566,398"
02/10/2025,"20.50","21.26","19.84","19.87","76,432,828"
02/07/2025,"22.18","23.43","21.00","21.13","72,056,031"
02/06/2025,"22.56","22.84","21.35","22.71","68,742,602"
02/05/2025,"24.34","24.49","22.86","23.20","52,872,191"
02/04/2025,"23.79","25.19","23.64","24.97","44,218,129"
02/03/2025,"24.33","24.65","22.71","23.96","82,723,250"
01/31/2025,"26.32","28.72","26.30","26.70","65,673,883"
01/30/2025,"27.49","27.71","24.15","26.18","84,021,922"
01/29/2025,"25.55","25.98","24.16","24.73","59,811,500"
01/28/2025,"25.78","26.26","24.43","25.94","32,189,891"
01/27/2025,"25.47","27.08","24.74","25.82","51,214,113"
01/24/2025,"28.16","28.63","26.99","27.09","37,471,641"
01/23/2025,"28.41","29.02","27.44","27.90","35,893,488"
01/22/2025,"28.55","30.08","28.22","28.30","47,021,648"
01/21/2025,"30.77","30.80","27.08","29.53","75,056,977"
01/17/2025,"29.26","31.69","28.99","29.91","71,306,531"
01/16/2025,"29.56","29.60","27.56","28.19","60,853,398"
01/15/2025,"27.84","30.46","27.29","30.22","69,815,570"
01/14/2025,"28.51","29.59","25.83","26.10","82,697,758"
01/13/2025,"24.38","27.06","23.98","27.00","56,773,039"
01/10/2025,"25.46","26.48","24.53","25.92","50,826,039"
01/08/2025,"25.72","26.95","24.97","25.98","56,871,320"
01/07/2025,"27.47","28.64","25.30","25.94","75,185,891"
01/06/2025,"29.87","30.33","26.92","28.22","76,940,273"
01/03/2025,"24.44","28.31","24.20","28.17","69,865,188"
01/02/2025,"25.70","26.00","23.36","24.19","106,809,000"
12/31/2024,"30.39","30.95","27.23","27.53","61,952,621"
12/30/2024,"29.75","30.88","29.25","29.50","48,705,871"
12/27/2024,"34.30","34.38","30.80","31.60","64,439,711"
12/26/2024,"36.82","36.86","34.58","35.08","56,064,520"
12/24/2024,"32.51","36.43","32.40","36.42","42,293,980"
12/23/2024,"31.81","32.30","29.54","31.85","55,161,500"
12/20/2024,"31.18","34.42","30.00","30.48","106,976,492"
